Whisky	Meta Critic	STDEV	#	Super Cluster	Cluster
Ardbeg Corryvreckan	9.22	0.26	15	J	J
Laphroaig Cairdeas 2015	9.16	0.2	6	J	J
Ardbeg Supernova 2015	9.15	0.34	5	J	J
Lagavulin Distiller's Edition (All Vintages)	9.12	0.28	16	J	J
Ardbeg Supernova 2014	9.11	0.33	12	J	J
Ardbeg Alligator	9.1	0.14	12	J	J
Laphroaig Quarter Cask	9.1	0.22	19	J	J
Ardbeg Ardbog The Ultimate	9.08	0.48	15	J	J
Laphroaig 10yo Cask Strength (all batches)	9.07	0.22	15	J	J
Laphroaig 18yo	9.07	0.3	15	J	J
Kilchoman Loch Gorm	9.06	0.17	14	J	J
AnCnoc Rutter	9.03	0.29	6	J	J
Ardbeg 10yo	9.02	0.34	19	J	J
Bruichladdich Octomore 7.1	9.02	0.39	4	J	J
Laphroaig Cairdeas 2014 Amontillado	9.02	0.22	7	J	J
Ardbeg Auriverdes	9	0.31	13	J	J
Laphroaig 10yo	8.92	0.26	17	J	J
Ardbeg Perpetuum	8.91	0.33	12	J	J
Big Peat Christmas Edition (2012-2015)	8.88	0.14	8	J	J
Laphroaig 15yo (200th Anniversary)	8.85	0.32	13	J	J
Kilchoman Machir Bay (2012/2013/2014)	8.82	0.27	18	J	J
Brora 21yo	8.79	0.48	3	J	J
Kilchoman 100% Islay (all editions)	8.79	0.29	14	J	J
Bunnahabhain Ceòbanach	8.78	0.31	8	J	J
Wemyss Malts Kiln Embers	8.78	0.11	3	J	J
BenRiach 18yo Dunder	8.74	0.23	4	J	J
Caol Ila Distiller's Edition (all editions)	8.74	0.39	10	J	J
Bruichladdich Octomore 6.1	8.73	0.28	10	J	J
AnCnoc Flaughter	8.72	0.29	8	J	J
Compass Box Peat Monster	8.68	0.31	15	J	J
Jura Prophecy	8.68	0.34	14	J	J
Bruichladdich Port Charlotte The Peat Project	8.65	0.3	5	J	J
BenRiach 17yo Septendecim Peated	8.55	0.59	16	J	J
Bunnahabhain Toiteach	8.55	0.43	11	J	J
Kilchoman Winter 2010 Release	8.54	0.17	4	J	J
Benromach Peat Smoke	8.49	0.27	11	J	J
Finlaggan Old Reserve	8.47	0.57	12	J	J
Tomintoul Peaty Tang	7.96	0.79	8	J	J
